Sector,Ticker,Full Name,Short Description
Technology,AAPL,Apple Inc.,"Consumer electronics, software, and services ecosystem"
Technology,MSFT,Microsoft Corporation,"Enterprise and consumer software, cloud, and AI services"
Technology,NVDA,NVIDIA Corporation,Designs GPUs and accelerated computing platforms
Technology,AVGO,Broadcom Inc.,Semiconductors and infrastructure software for data centers and networking
Technology,ORCL,Oracle Corporation,Enterprise database and cloud infrastructure/application software
Technology,CRM,"Salesforce, Inc.",Cloud CRM platform and enterprise software
Technology,ADBE,Adobe Inc.,"Creative, document, and digital experience software"
Technology,AMD,"Advanced Micro Devices, Inc.","CPUs and GPUs for PCs, servers, and data centers"
Technology,INTC,Intel Corporation,Semiconductors and processors for PCs and servers
Technology,CSCO,"Cisco Systems, Inc.","Networking hardware, software, and security solutions"
Technology,QCOM,QUALCOMM Incorporated,Mobile and wireless semiconductors and licensing
Technology,TXN,Texas Instruments Incorporated,Analog and embedded processing semiconductors
Technology,NOW,"ServiceNow, Inc.",Enterprise workflow automation and IT service management software
Technology,PANW,"Palo Alto Networks, Inc.","Cybersecurity platforms for networks, cloud, and endpoints"
Technology,CRWD,"CrowdStrike Holdings, Inc.",Cloud-native endpoint and threat intelligence security
Technology,IBM,International Business Machines Corporation,"Hybrid cloud, consulting, and enterprise infrastructure"
Technology,ACN,Accenture plc,"IT consulting, systems integration, and managed services"
Technology,INTU,Intuit Inc.,Financial software for consumers and small businesses
Technology,SNOW,Snowflake Inc.,Cloud data platform for analytics and data warehousing
Technology,PLTR,Palantir Technologies Inc.,Data integration and analytics platforms for enterprises and governments
Technology,GOOGL,Alphabet Inc. (Class A),"Search, ads, cloud, and consumer internet products"
Technology,META,"Meta Platforms, Inc.",Social platforms and digital advertising
Technology,NFLX,"Netflix, Inc.",Subscription streaming entertainment service
Technology,DIS,The Walt Disney Company,"Media networks, streaming, and theme parks"
Technology,TMUS,"T-Mobile US, Inc.",US wireless telecommunications services
Technology,VZ,Verizon Communications Inc.,Wireless and broadband telecommunications services
Technology,T,AT&T Inc.,Telecommunications and broadband services
Technology,CMCSA,Comcast Corporation,"Cable broadband, media, and entertainment"
Technology,CHTR,"Charter Communications, Inc.",Cable broadband and communications services
Consumer Discretionary,AMZN,"Amazon.com, Inc.","E-commerce, cloud computing, and digital services"
Consumer Discretionary,TSLA,"Tesla, Inc.","Electric vehicles, energy storage, and related software"
Consumer Discretionary,HD,"The Home Depot, Inc.",Home improvement retail and related services
Consumer Discretionary,LOW,"Lowe's Companies, Inc.",Home improvement retail chain
Consumer Discretionary,NKE,"Nike, Inc.","Athletic footwear, apparel, and equipment"
